application_id,age,annual_income,credit_score,loan_amount,years_employed,debt_to_income_ratio,existing_loans,employment_type,marital_status,education_level,residence_type,city_tier,card_type_requested,application_date,approval_status
100001,59.0,112483.0,577.0,15530.0,18.0,0.56,1,Business,Single,High School,Owned,Tier3,Gold,2025-07-31,Rejected
100002,49.0,159035.0,784.0,10310.0,22.0,0.46,6,Salaried,Married,Bachelors,Rented,Tier3,Gold,2024-10-22,Approved
100003,35.0,144217.0,440.0,35281.0,18.0,0.45,1,Self-Employed,Married,,Owned,Tier1,Gold,2025-09-27,Approved
100004,63.0,169938.0,409.0,24809.0,17.0,0.37,6,Business,Single,Masters,Family,Tier1,Platinum,2024-06-18,Rejected
100005,,129504.0,351.0,47104.0,29.0,0.06,0,Salaried,Divorced,Bachelors,Family,Tier3,Gold,2024-07-23,Rejected
100006,41.0,188377.0,618.0,22735.0,18.0,0.22,3,Salaried,Divorced,Masters,Family,Tier2,Platinum,2025-03-31,Approved
100007,59.0,130649.0,498.0,45363.0,4.0,0.12,2,Salaried,Divorced,High School,Family,Tier2,Platinum,2025-08-24,Approved
100008,39.0,151244.0,345.0,7749.0,12.0,0.48,5,Self-Employed,Single,Masters,Family,Tier2,Gold,2024-07-08,Rejected
100009,43.0,57813.0,804.0,28637.0,33.0,0.21,7,Self-Employed,Married,Bachelors,Family,Tier3,Silver,2025-04-02,Approved
100010,31.0,91729.0,839.0,8005.0,23.0,0.34,7,Self-Employed,Single,Masters,Owned,Tier3,Gold,2025-04-01,Approved
100011,31.0,29512.0,813.0,30898.0,,0.28,7,Business,Married,Bachelors,Rented,Tier3,Platinum,2025-10-08,Rejected
100012,44.0,178738.0,,24538.0,3.0,0.14,4,Business,Single,High School,Rented,Tier2,Platinum,2024-01-01,Approved
100013,56.0,172702.0,614.0,38206.0,7.0,0.67,4,Salaried,Married,Masters,Rented,Tier2,Platinum,2024-04-06,Approved
100014,60.0,142907.0,735.0,,0.0,0.66,2,,Divorced,High School,Owned,Tier2,Gold,2024-02-12,Approved
100015,44.0,156708.0,687.0,22708.0,12.0,0.1,4,Business,Single,High School,Owned,Tier3,Gold,2024-01-13,Approved
100016,23.0,159847.0,,46024.0,21.0,0.59,3,Salaried,Divorced,Masters,Family,Tier2,Platinum,2024-05-18,Approved
100017,42.0,89591.0,670.0,43944.0,28.0,0.37,5,Salaried,Single,Masters,Rented,Tier3,Gold,2025-05-09,Approved
100018,22.0,36351.0,464.0,26467.0,8.0,0.55,3,Self-Employed,Divorced,Masters,Owned,Tier3,Gold,2024-08-27,Approved
100019,44.0,140400.0,323.0,15412.0,26.0,0.15,7,Business,Married,High School,Owned,Tier2,Platinum,2025-04-21,Approved
100020,64.0,145533.0,334.0,30378.0,3.0,0.14,4,Self-Employed,Married,,Rented,Tier1,Gold,2025-05-10,Approved
100021,50.0,128627.0,813.0,48055.0,16.0,0.63,1,Salaried,Married,Bachelors,Owned,Tier3,Gold,2024-09-07,Approved
100022,58.0,153381.0,760.0,29102.0,2.0,0.63,7,Business,Married,Bachelors,Family,Tier3,Silver,2024-04-20,Approved
100023,22.0,120707.0,437.0,14044.0,3.0,0.35,5,Self-Employed,Single,Bachelors,Rented,Tier2,Silver,2025-07-03,Approved
100024,41.0,106678.0,564.0,32309.0,15.0,0.62,5,Business,Married,Bachelors,Family,Tier1,Gold,2024-08-04,Approved
100025,53.0,98309.0,632.0,19239.0,10.0,0.48,7,Salaried,Divorced,High School,Owned,Tier1,,2025-09-14,Rejected
100026,32.0,35778.0,487.0,3435.0,26.0,0.17,4,Salaried,Divorced,High School,Owned,Tier2,Gold,2024-04-13,Approved
100027,42.0,168573.0,362.0,44934.0,25.0,0.26,4,Salaried,Single,High School,Owned,Tier1,Platinum,2025-11-15,Approved
100028,64.0,137713.0,578.0,24164.0,30.0,0.14,2,Business,Single,Bachelors,Rented,Tier2,Gold,2025-07-16,Approved
100029,45.0,158180.0,841.0,36866.0,33.0,0.55,7,Business,Married,High School,Owned,Tier2,Gold,2025-06-10,Approved
100030,47.0,61382.0,470.0,4386.0,7.0,0.69,3,Self-Employed,Single,High School,Rented,Tier1,Silver,2025-07-31,Rejected
100031,62.0,100787.0,802.0,6440.0,0.0,0.41,5,Business,Married,Bachelors,Owned,Tier3,Gold,2025-02-01,Approved
100032,48.0,48341.0,832.0,46503.0,1.0,0.48,1,Self-Employed,Single,Masters,Family,Tier1,Silver,2024-01-14,Approved
100033,36.0,170439.0,598.0,43776.0,26.0,0.53,2,Self-Employed,Married,High School,Family,Tier3,Gold,2025-01-14,Approved
100034,35.0,144967.0,500.0,7436.0,2.0,0.2,2,Self-Employed,Divorced,High School,Rented,Tier3,Platinum,2024-05-31,Approved
100035,64.0,156066.0,434.0,8403.0,33.0,0.27,1,Business,Married,Masters,Owned,Tier3,Gold,2024-10-16,Approved
100036,23.0,168074.0,571.0,24242.0,15.0,0.32,1,Business,Divorced,High School,Rented,Tier1,Gold,2024-04-17,Approved
100037,57.0,110820.0,834.0,44464.0,0.0,0.44,2,Business,Divorced,Bachelors,Owned,Tier3,Silver,2025-11-02,Approved
